pin,slack
ControlDecoder_0/threshold_buffer[9]:CLK,1750
ControlDecoder_0/threshold_buffer[9]:D,1742
ControlDecoder_0/threshold_buffer[9]:EN,-5100
ControlDecoder_0/threshold_buffer[9]:LAT,
ControlDecoder_0/threshold_buffer[9]:Q,1750
ControlDecoder_0/threshold_buffer[9]:SD,
ControlDecoder_0/threshold_buffer[9]:SLn,-734
hptdc_tdo_0_obuf/U0/U_IOENFF:A,
hptdc_tdo_0_obuf/U0/U_IOENFF:Y,
hptdc_tck_2_obuf/U0/U_IOENFF:A,
hptdc_tck_2_obuf/U0/U_IOENFF:Y,
ControlDecoder_3/run_number_1_sqmuxa_0_a3_0_o2_RNICB1T:A,
ControlDecoder_3/run_number_1_sqmuxa_0_a3_0_o2_RNICB1T:B,-1601
ControlDecoder_3/run_number_1_sqmuxa_0_a3_0_o2_RNICB1T:C,-3977
ControlDecoder_3/run_number_1_sqmuxa_0_a3_0_o2_RNICB1T:D,-4148
ControlDecoder_3/run_number_1_sqmuxa_0_a3_0_o2_RNICB1T:Y,-4148
ControlDecoder_1/counter_RNINEEK[1]:A,-3694
ControlDecoder_1/counter_RNINEEK[1]:B,
ControlDecoder_1/counter_RNINEEK[1]:C,
ControlDecoder_1/counter_RNINEEK[1]:CC,-3327
ControlDecoder_1/counter_RNINEEK[1]:D,
ControlDecoder_1/counter_RNINEEK[1]:P,-3694
ControlDecoder_1/counter_RNINEEK[1]:S,-3327
ControlDecoder_1/counter_RNINEEK[1]:UB,
ControlDecoder_0/threshold_voltage[10]:ADn,
ControlDecoder_0/threshold_voltage[10]:ALn,
ControlDecoder_0/threshold_voltage[10]:CLK,-564
ControlDecoder_0/threshold_voltage[10]:D,1750
ControlDecoder_0/threshold_voltage[10]:EN,-2949
ControlDecoder_0/threshold_voltage[10]:LAT,
ControlDecoder_0/threshold_voltage[10]:Q,-564
ControlDecoder_0/threshold_voltage[10]:SD,
ControlDecoder_0/threshold_voltage[10]:SLn,
ccu25_data_1_iobuf[1]/U0/U_IOENFF:A,
ccu25_data_1_iobuf[1]/U0/U_IOENFF:Y,
JTAG_3/loop_counter_0_0_0[1]:A,609
JTAG_3/loop_counter_0_0_0[1]:B,561
JTAG_3/loop_counter_0_0_0[1]:C,-1789
JTAG_3/loop_counter_0_0_0[1]:D,-1615
JTAG_3/loop_counter_0_0_0[1]:Y,-1789
hptdc_trigger_3_obuft/U0/U_IOPAD:D,
hptdc_trigger_3_obuft/U0/U_IOPAD:E,
hptdc_trigger_3_obuft/U0/U_IOPAD:PAD,
ControlDecoder_1/send_data_to_hptdc_5_f0_0_a2:A,-3305
ControlDecoder_1/send_data_to_hptdc_5_f0_0_a2:B,-1872
ControlDecoder_1/send_data_to_hptdc_5_f0_0_a2:Y,-3305
ControlDecoder_0/run_number[3]:ADn,
ControlDecoder_0/run_number[3]:ALn,
ControlDecoder_0/run_number[3]:CLK,749
ControlDecoder_0/run_number[3]:D,1750
ControlDecoder_0/run_number[3]:EN,-2806
ControlDecoder_0/run_number[3]:LAT,
ControlDecoder_0/run_number[3]:Q,749
ControlDecoder_0/run_number[3]:SD,
ControlDecoder_0/run_number[3]:SLn,
JTAG_3/loop_counter_0_0_0_0[2]:A,-490
JTAG_3/loop_counter_0_0_0_0[2]:B,-1514
JTAG_3/loop_counter_0_0_0_0[2]:C,-618
JTAG_3/loop_counter_0_0_0_0[2]:D,-736
JTAG_3/loop_counter_0_0_0_0[2]:Y,-1514
hptdc_token_bypass_in_3_obuft/U0/U_IOOUTFF:A,
hptdc_token_bypass_in_3_obuft/U0/U_IOOUTFF:Y,
JTAG_2/data_to[1]:ADn,
JTAG_2/data_to[1]:ALn,
JTAG_2/data_to[1]:CLK,-2606
JTAG_2/data_to[1]:D,161
JTAG_2/data_to[1]:EN,-1061
JTAG_2/data_to[1]:LAT,
JTAG_2/data_to[1]:Q,-2606
JTAG_2/data_to[1]:SD,
JTAG_2/data_to[1]:SLn,
hptdc_token_bypass_in_1_obuft/U0/U_IOPAD:D,
hptdc_token_bypass_in_1_obuft/U0/U_IOPAD:E,
hptdc_token_bypass_in_1_obuft/U0/U_IOPAD:PAD,
ControlDecoder_3/counter_19_1_0_0[2]:A,-6223
ControlDecoder_3/counter_19_1_0_0[2]:B,-5040
ControlDecoder_3/counter_19_1_0_0[2]:C,-5191
ControlDecoder_3/counter_19_1_0_0[2]:Y,-6223
ControlDecoder_1/counter_cnst_i_a2_sx[5]:A,
ControlDecoder_1/counter_cnst_i_a2_sx[5]:B,
ControlDecoder_1/counter_cnst_i_a2_sx[5]:C,-4276
ControlDecoder_1/counter_cnst_i_a2_sx[5]:D,
ControlDecoder_1/counter_cnst_i_a2_sx[5]:Y,-4276
ControlDecoder_2/run_number_buffer[6]:ADn,
ControlDecoder_2/run_number_buffer[6]:ALn,
ControlDecoder_2/run_number_buffer[6]:CLK,1750
ControlDecoder_2/run_number_buffer[6]:D,
ControlDecoder_2/run_number_buffer[6]:EN,-4042
ControlDecoder_2/run_number_buffer[6]:LAT,
ControlDecoder_2/run_number_buffer[6]:Q,1750
ControlDecoder_2/run_number_buffer[6]:SD,
ControlDecoder_2/run_number_buffer[6]:SLn,-643
ControlDecoder_1/instruction_RNICLSP[4]:A,-1867
ControlDecoder_1/instruction_RNICLSP[4]:B,-1967
ControlDecoder_1/instruction_RNICLSP[4]:C,-2014
ControlDecoder_1/instruction_RNICLSP[4]:Y,-2014
ControlDecoder_1/counter_19_ns_1_N_2L1:A,
ControlDecoder_1/counter_19_ns_1_N_2L1:B,
ControlDecoder_1/counter_19_ns_1_N_2L1:C,-4364
ControlDecoder_1/counter_19_ns_1_N_2L1:D,
ControlDecoder_1/counter_19_ns_1_N_2L1:Y,-4364
ip_interface_inst_2:A,
ip_interface_inst_2:B,
ip_interface_inst_2:C,
dac_din_1_obuf/U0/U_IOPAD:D,
dac_din_1_obuf/U0/U_IOPAD:E,
dac_din_1_obuf/U0/U_IOPAD:PAD,
DACController_0/sclock_counter_s[16]:A,
DACController_0/sclock_counter_s[16]:B,477
DACController_0/sclock_counter_s[16]:C,
DACController_0/sclock_counter_s[16]:CC,-421
DACController_0/sclock_counter_s[16]:D,
DACController_0/sclock_counter_s[16]:P,
DACController_0/sclock_counter_s[16]:S,-421
DACController_0/sclock_counter_s[16]:UB,
DACController_0/cache1[4]:ADn,
DACController_0/cache1[4]:ALn,
DACController_0/cache1[4]:CLK,-3990
DACController_0/cache1[4]:D,1734
DACController_0/cache1[4]:EN,-5705
DACController_0/cache1[4]:LAT,
DACController_0/cache1[4]:Q,-3990
DACController_0/cache1[4]:SD,
DACController_0/cache1[4]:SLn,
JTAG_3/loop_counter_0_0_0_a2_1[0]:A,
JTAG_3/loop_counter_0_0_0_a2_1[0]:B,-631
JTAG_3/loop_counter_0_0_0_a2_1[0]:C,-750
JTAG_3/loop_counter_0_0_0_a2_1[0]:D,-1869
JTAG_3/loop_counter_0_0_0_a2_1[0]:Y,-1869
JTAG_0/TAP_state[2]:ADn,
JTAG_0/TAP_state[2]:ALn,
JTAG_0/TAP_state[2]:CLK,-2628
JTAG_0/TAP_state[2]:D,394
JTAG_0/TAP_state[2]:EN,
JTAG_0/TAP_state[2]:LAT,
JTAG_0/TAP_state[2]:Q,-2628
JTAG_0/TAP_state[2]:SD,
JTAG_0/TAP_state[2]:SLn,
ControlDecoder_1/threshold_voltage[5]:ADn,
ControlDecoder_1/threshold_voltage[5]:ALn,
ControlDecoder_1/threshold_voltage[5]:CLK,-3781
ControlDecoder_1/threshold_voltage[5]:D,1742
ControlDecoder_1/threshold_voltage[5]:EN,-4031
ControlDecoder_1/threshold_voltage[5]:LAT,
ControlDecoder_1/threshold_voltage[5]:Q,-3781
ControlDecoder_1/threshold_voltage[5]:SD,
ControlDecoder_1/threshold_voltage[5]:SLn,
ControlDecoder_1/counter_3_sqmuxa:A,-3825
ControlDecoder_1/counter_3_sqmuxa:B,
ControlDecoder_1/counter_3_sqmuxa:C,
ControlDecoder_1/counter_3_sqmuxa:Y,-3825
ControlDecoder_0/counter_19_i_a2_6[1]:A,
ControlDecoder_0/counter_19_i_a2_6[1]:B,
ControlDecoder_0/counter_19_i_a2_6[1]:Y,
DACController_0/temp_7_cry_9:A,-564
DACController_0/temp_7_cry_9:B,-715
DACController_0/temp_7_cry_9:C,
DACController_0/temp_7_cry_9:CC,-1687
DACController_0/temp_7_cry_9:D,
DACController_0/temp_7_cry_9:P,
DACController_0/temp_7_cry_9:S,-1687
DACController_0/temp_7_cry_9:UB,
ControlDecoder_2/data_to_hptdc[1]:ADn,
ControlDecoder_2/data_to_hptdc[1]:ALn,
ControlDecoder_2/data_to_hptdc[1]:CLK,161
ControlDecoder_2/data_to_hptdc[1]:D,
ControlDecoder_2/data_to_hptdc[1]:EN,-5103
ControlDecoder_2/data_to_hptdc[1]:LAT,
ControlDecoder_2/data_to_hptdc[1]:Q,161
ControlDecoder_2/data_to_hptdc[1]:SD,
ControlDecoder_2/data_to_hptdc[1]:SLn,-643
hptdc_token_bypass_in_1_obuft/U0/U_IOENFF:A,
hptdc_token_bypass_in_1_obuft/U0/U_IOENFF:Y,
JTAG_0/TAP_state_RNO[3]:A,702
JTAG_0/TAP_state_RNO[3]:B,-441
JTAG_0/TAP_state_RNO[3]:C,584
JTAG_0/TAP_state_RNO[3]:D,496
JTAG_0/TAP_state_RNO[3]:Y,-441
ControlDecoder_0/counter_19_i_a2_3[4]:A,
ControlDecoder_0/counter_19_i_a2_3[4]:B,-4202
ControlDecoder_0/counter_19_i_a2_3[4]:C,-4465
ControlDecoder_0/counter_19_i_a2_3[4]:D,-6877
ControlDecoder_0/counter_19_i_a2_3[4]:Y,-6877
ControlDecoder_2/ccu25_data_temp_10[3]:A,749
ControlDecoder_2/ccu25_data_temp_10[3]:B,
ControlDecoder_2/ccu25_data_temp_10[3]:Y,749
JTAG_2/loop_counter_r[0]:A,625
JTAG_2/loop_counter_r[0]:B,
JTAG_2/loop_counter_r[0]:C,-3115
JTAG_2/loop_counter_r[0]:D,-735
JTAG_2/loop_counter_r[0]:Y,-3115
ControlDecoder_3/counter_RNO_1[0]:A,
ControlDecoder_3/counter_RNO_1[0]:B,
ControlDecoder_3/counter_RNO_1[0]:C,
ControlDecoder_3/counter_RNO_1[0]:Y,
ControlDecoder_3/instruction[6]:ADn,
ControlDecoder_3/instruction[6]:ALn,
ControlDecoder_3/instruction[6]:CLK,-6258
ControlDecoder_3/instruction[6]:D,-2024
ControlDecoder_3/instruction[6]:EN,-2117
ControlDecoder_3/instruction[6]:LAT,
ControlDecoder_3/instruction[6]:Q,-6258
ControlDecoder_3/instruction[6]:SD,
ControlDecoder_3/instruction[6]:SLn,
JTAG_2/loop_counter_r_RNO[1]:A,-1734
JTAG_2/loop_counter_r_RNO[1]:B,-685
JTAG_2/loop_counter_r_RNO[1]:Y,-1734
DACController_1/sclock_counter[23]:ADn,
DACController_1/sclock_counter[23]:ALn,
DACController_1/sclock_counter[23]:CLK,-5587
DACController_1/sclock_counter[23]:D,-430
DACController_1/sclock_counter[23]:EN,
DACController_1/sclock_counter[23]:LAT,
DACController_1/sclock_counter[23]:Q,-5587
DACController_1/sclock_counter[23]:SD,
DACController_1/sclock_counter[23]:SLn,-1974
ccu25_data_2_iobuf[1]/U0/U_IOOUTFF:A,
ccu25_data_2_iobuf[1]/U0/U_IOOUTFF:Y,
JTAG_3/data_to[0]:ADn,
JTAG_3/data_to[0]:ALn,
JTAG_3/data_to[0]:CLK,-2611
JTAG_3/data_to[0]:D,153
JTAG_3/data_to[0]:EN,-1054
JTAG_3/data_to[0]:LAT,
JTAG_3/data_to[0]:Q,-2611
JTAG_3/data_to[0]:SD,
JTAG_3/data_to[0]:SLn,
JTAG_1/TAP_state[0]:ADn,
JTAG_1/TAP_state[0]:ALn,
JTAG_1/TAP_state[0]:CLK,-3071
JTAG_1/TAP_state[0]:D,-441
JTAG_1/TAP_state[0]:EN,
JTAG_1/TAP_state[0]:LAT,
JTAG_1/TAP_state[0]:Q,-3071
JTAG_1/TAP_state[0]:SD,
JTAG_1/TAP_state[0]:SLn,
DACController_1/sclock_counter[22]:ADn,
DACController_1/sclock_counter[22]:ALn,
DACController_1/sclock_counter[22]:CLK,-5705
DACController_1/sclock_counter[22]:D,-316
DACController_1/sclock_counter[22]:EN,
DACController_1/sclock_counter[22]:LAT,
DACController_1/sclock_counter[22]:Q,-5705
DACController_1/sclock_counter[22]:SD,
DACController_1/sclock_counter[22]:SLn,-1974
ControlDecoder_3/un1_instruction46_14_0_3_i_o2_1_RNICGC21:A,
ControlDecoder_3/un1_instruction46_14_0_3_i_o2_1_RNICGC21:B,
ControlDecoder_3/un1_instruction46_14_0_3_i_o2_1_RNICGC21:C,-5494
ControlDecoder_3/un1_instruction46_14_0_3_i_o2_1_RNICGC21:D,-4375
ControlDecoder_3/un1_instruction46_14_0_3_i_o2_1_RNICGC21:Y,-5494
ControlDecoder_3/ccu25_strobe_in_5_iv_0_a3_i_o2_i_a2_RNI6HG01:A,-509
ControlDecoder_3/ccu25_strobe_in_5_iv_0_a3_i_o2_i_a2_RNI6HG01:B,
ControlDecoder_3/ccu25_strobe_in_5_iv_0_a3_i_o2_i_a2_RNI6HG01:C,-5166
ControlDecoder_3/ccu25_strobe_in_5_iv_0_a3_i_o2_i_a2_RNI6HG01:D,-1900
ControlDecoder_3/ccu25_strobe_in_5_iv_0_a3_i_o2_i_a2_RNI6HG01:Y,-5166
ControlDecoder_2/counter_19_i_m2[4]:A,
ControlDecoder_2/counter_19_i_m2[4]:B,-6370
ControlDecoder_2/counter_19_i_m2[4]:C,
ControlDecoder_2/counter_19_i_m2[4]:D,
ControlDecoder_2/counter_19_i_m2[4]:Y,-6370
ControlDecoder_3/un1_instruction46_14_0_a3_0_0_o2_RNI3KSQ:A,-1819
ControlDecoder_3/un1_instruction46_14_0_a3_0_0_o2_RNI3KSQ:B,-2117
ControlDecoder_3/un1_instruction46_14_0_a3_0_0_o2_RNI3KSQ:C,
ControlDecoder_3/un1_instruction46_14_0_a3_0_0_o2_RNI3KSQ:D,-877
ControlDecoder_3/un1_instruction46_14_0_a3_0_0_o2_RNI3KSQ:Y,-2117
DACController_0/cache1[1]:ADn,
DACController_0/cache1[1]:ALn,
DACController_0/cache1[1]:CLK,-3726
DACController_0/cache1[1]:D,1734
DACController_0/cache1[1]:EN,-5705
DACController_0/cache1[1]:LAT,
DACController_0/cache1[1]:Q,-3726
DACController_0/cache1[1]:SD,
DACController_0/cache1[1]:SLn,
JTAG_0/next_TAP_state_srsts_0_a2_0_a2[3]:A,679
JTAG_0/next_TAP_state_srsts_0_a2_0_a2[3]:B,
JTAG_0/next_TAP_state_srsts_0_a2_0_a2[3]:Y,679
JTAG_2/un1_data_sent_to_hptdc_5:A,-502
JTAG_2/un1_data_sent_to_hptdc_5:B,-551
JTAG_2/un1_data_sent_to_hptdc_5:C,-3115
JTAG_2/un1_data_sent_to_hptdc_5:D,-1901
JTAG_2/un1_data_sent_to_hptdc_5:Y,-3115
JTAG_1/next_TAP_state_srsts_0[1]:A,
JTAG_1/next_TAP_state_srsts_0[1]:B,620
JTAG_1/next_TAP_state_srsts_0[1]:C,-456
JTAG_1/next_TAP_state_srsts_0[1]:D,-852
JTAG_1/next_TAP_state_srsts_0[1]:Y,-852
ControlDecoder_0/instruction_RNI0VVA1[2]:A,-1603
ControlDecoder_0/instruction_RNI0VVA1[2]:B,-1659
ControlDecoder_0/instruction_RNI0VVA1[2]:C,-1706
ControlDecoder_0/instruction_RNI0VVA1[2]:Y,-1706
ccu25_strobe_out_0_ibuf/U0/U_IOPAD:PAD,
ccu25_strobe_out_0_ibuf/U0/U_IOPAD:Y,
JTAG_3/tms_pad_o_RNO:A,-472
JTAG_3/tms_pad_o_RNO:B,623
JTAG_3/tms_pad_o_RNO:C,-3460
JTAG_3/tms_pad_o_RNO:D,-924
JTAG_3/tms_pad_o_RNO:Y,-3460
ControlDecoder_0/run_number[1]:ADn,
ControlDecoder_0/run_number[1]:ALn,
ControlDecoder_0/run_number[1]:CLK,651
ControlDecoder_0/run_number[1]:D,1750
ControlDecoder_0/run_number[1]:EN,-2806
ControlDecoder_0/run_number[1]:LAT,
ControlDecoder_0/run_number[1]:Q,651
ControlDecoder_0/run_number[1]:SD,
ControlDecoder_0/run_number[1]:SLn,
DACController_1/temp_14_i_m2[13]:A,640
DACController_1/temp_14_i_m2[13]:B,439
DACController_1/temp_14_i_m2[13]:C,600
DACController_1/temp_14_i_m2[13]:Y,439
ControlDecoder_2/ccu25_data_temp_10[2]:A,749
ControlDecoder_2/ccu25_data_temp_10[2]:B,
ControlDecoder_2/ccu25_data_temp_10[2]:Y,749
ControlDecoder_1/send_data_to_hptdc_5_f0_0_0:A,-2597
ControlDecoder_1/send_data_to_hptdc_5_f0_0_0:B,627
ControlDecoder_1/send_data_to_hptdc_5_f0_0_0:C,-3947
ControlDecoder_1/send_data_to_hptdc_5_f0_0_0:D,-3059
ControlDecoder_1/send_data_to_hptdc_5_f0_0_0:Y,-3947
ControlDecoder_1/ccu25_data_temp_ldmx[0]:A,741
ControlDecoder_1/ccu25_data_temp_ldmx[0]:B,-507
ControlDecoder_1/ccu25_data_temp_ldmx[0]:C,-656
ControlDecoder_1/ccu25_data_temp_ldmx[0]:Y,-656
JTAG_0/next_TAP_state_srsts_i_0_o2_0[6]:A,-2722
JTAG_0/next_TAP_state_srsts_i_0_o2_0[6]:B,
JTAG_0/next_TAP_state_srsts_i_0_o2_0[6]:Y,-2722
JTAG_2/data_to[6]:ADn,
JTAG_2/data_to[6]:ALn,
JTAG_2/data_to[6]:CLK,-2755
JTAG_2/data_to[6]:D,161
JTAG_2/data_to[6]:EN,-1061
JTAG_2/data_to[6]:LAT,
JTAG_2/data_to[6]:Q,-2755
JTAG_2/data_to[6]:SD,
JTAG_2/data_to[6]:SLn,
JTAG_3/TAP_state[2]:ADn,
JTAG_3/TAP_state[2]:ALn,
JTAG_3/TAP_state[2]:CLK,-2628
JTAG_3/TAP_state[2]:D,386
JTAG_3/TAP_state[2]:EN,
JTAG_3/TAP_state[2]:LAT,
JTAG_3/TAP_state[2]:Q,-2628
JTAG_3/TAP_state[2]:SD,
JTAG_3/TAP_state[2]:SLn,
ControlDecoder_1/counter_19_1[1]:A,-3825
ControlDecoder_1/counter_19_1[1]:B,-3931
ControlDecoder_1/counter_19_1[1]:C,-4353
ControlDecoder_1/counter_19_1[1]:D,-5688
ControlDecoder_1/counter_19_1[1]:Y,-5688
DACController_1/temp[1]:ADn,
DACController_1/temp[1]:ALn,
DACController_1/temp[1]:CLK,600
DACController_1/temp[1]:D,491
DACController_1/temp[1]:EN,-4579
DACController_1/temp[1]:LAT,
DACController_1/temp[1]:Q,600
DACController_1/temp[1]:SD,
DACController_1/temp[1]:SLn,
ccu25_data_0_iobuf[1]/U0/U_IOOUTFF:A,
ccu25_data_0_iobuf[1]/U0/U_IOOUTFF:Y,
ccu25_data_0_iobuf[0]/U0/U_IOENFF:A,
ccu25_data_0_iobuf[0]/U0/U_IOENFF:Y,
ccu25_data_3_iobuf[4]/U0/U_IOENFF:A,
ccu25_data_3_iobuf[4]/U0/U_IOENFF:Y,
poh_clk_0_obuft/U0/U_IOOUTFF:A,
poh_clk_0_obuft/U0/U_IOOUTFF:Y,
JTAG_2/tdo_pad_o10_0_a3:A,-268
JTAG_2/tdo_pad_o10_0_a3:B,-378
JTAG_2/tdo_pad_o10_0_a3:C,-417
JTAG_2/tdo_pad_o10_0_a3:D,-576
JTAG_2/tdo_pad_o10_0_a3:Y,-576
ControlDecoder_2/jtag_instruction_1[1]:ADn,
ControlDecoder_2/jtag_instruction_1[1]:ALn,
ControlDecoder_2/jtag_instruction_1[1]:CLK,-1152
ControlDecoder_2/jtag_instruction_1[1]:D,
ControlDecoder_2/jtag_instruction_1[1]:EN,-2777
ControlDecoder_2/jtag_instruction_1[1]:LAT,
ControlDecoder_2/jtag_instruction_1[1]:Q,-1152
ControlDecoder_2/jtag_instruction_1[1]:SD,
ControlDecoder_2/jtag_instruction_1[1]:SLn,
JTAG_3/next_TAP_state[4]:ADn,
JTAG_3/next_TAP_state[4]:ALn,
JTAG_3/next_TAP_state[4]:CLK,-1539
JTAG_3/next_TAP_state[4]:D,569
JTAG_3/next_TAP_state[4]:EN,
JTAG_3/next_TAP_state[4]:LAT,
JTAG_3/next_TAP_state[4]:Q,-1539
JTAG_3/next_TAP_state[4]:SD,
JTAG_3/next_TAP_state[4]:SLn,
JTAG_0/data_to[6]:ADn,
JTAG_0/data_to[6]:ALn,
JTAG_0/data_to[6]:CLK,-2704
JTAG_0/data_to[6]:D,161
JTAG_0/data_to[6]:EN,-1054
JTAG_0/data_to[6]:LAT,
JTAG_0/data_to[6]:Q,-2704
JTAG_0/data_to[6]:SD,
JTAG_0/data_to[6]:SLn,
ControlDecoder_2/counter_19_i_a3_4_0[3]:A,-1871
ControlDecoder_2/counter_19_i_a3_4_0[3]:B,
ControlDecoder_2/counter_19_i_a3_4_0[3]:C,
ControlDecoder_2/counter_19_i_a3_4_0[3]:Y,-1871
JTAG_2/data_received_from_hptdc_0_sqmuxa:A,741
JTAG_2/data_received_from_hptdc_0_sqmuxa:B,620
JTAG_2/data_received_from_hptdc_0_sqmuxa:C,-783
JTAG_2/data_received_from_hptdc_0_sqmuxa:Y,-783
hptdc_tck_2_obuf/U0/U_IOPAD:D,
hptdc_tck_2_obuf/U0/U_IOPAD:E,
hptdc_tck_2_obuf/U0/U_IOPAD:PAD,
DACController_1/temp_7_cry_8:A,
DACController_1/temp_7_cry_8:B,-855
DACController_1/temp_7_cry_8:C,-997
DACController_1/temp_7_cry_8:CC,-1616
DACController_1/temp_7_cry_8:D,
DACController_1/temp_7_cry_8:P,-997
DACController_1/temp_7_cry_8:S,-1616
DACController_1/temp_7_cry_8:UB,
JTAG_1/next_TAP_state_RNO[5]:A,-385
JTAG_1/next_TAP_state_RNO[5]:B,-2053
JTAG_1/next_TAP_state_RNO[5]:C,
JTAG_1/next_TAP_state_RNO[5]:D,465
JTAG_1/next_TAP_state_RNO[5]:Y,-2053
hptdc_event_reset_1_obuft/U0/U_IOOUTFF:A,
hptdc_event_reset_1_obuft/U0/U_IOOUTFF:Y,
ccu25_data_2_iobuf[2]/U0/U_IOOUTFF:A,
ccu25_data_2_iobuf[2]/U0/U_IOOUTFF:Y,
ControlDecoder_1/threshold_buffer[7]:ADn,
ControlDecoder_1/threshold_buffer[7]:ALn,
ControlDecoder_1/threshold_buffer[7]:CLK,1750
ControlDecoder_1/threshold_buffer[7]:D,1742
ControlDecoder_1/threshold_buffer[7]:EN,-4122
ControlDecoder_1/threshold_buffer[7]:LAT,
ControlDecoder_1/threshold_buffer[7]:Q,1750
ControlDecoder_1/threshold_buffer[7]:SD,
ControlDecoder_1/threshold_buffer[7]:SLn,-849
ControlDecoder_3/instruction45_RNIEL1I:A,
ControlDecoder_3/instruction45_RNIEL1I:B,-4009
ControlDecoder_3/instruction45_RNIEL1I:C,
ControlDecoder_3/instruction45_RNIEL1I:D,
ControlDecoder_3/instruction45_RNIEL1I:Y,-4009
ControlDecoder_0/instruction45_RNIU0BO3:A,-1755
ControlDecoder_0/instruction45_RNIU0BO3:B,-4931
ControlDecoder_0/instruction45_RNIU0BO3:C,
ControlDecoder_0/instruction45_RNIU0BO3:D,-1846
ControlDecoder_0/instruction45_RNIU0BO3:Y,-4931
ControlDecoder_3/get_data_from_hptdc_2_i_0_o2:A,
ControlDecoder_3/get_data_from_hptdc_2_i_0_o2:B,
ControlDecoder_3/get_data_from_hptdc_2_i_0_o2:Y,
JTAG_1/tms_pad_o_6_i_2:A,-1765
JTAG_1/tms_pad_o_6_i_2:B,-1863
JTAG_1/tms_pad_o_6_i_2:C,-3255
JTAG_1/tms_pad_o_6_i_2:D,-3274
JTAG_1/tms_pad_o_6_i_2:Y,-3274
ccu25_strobe_in_1_obuf/U0/U_IOOUTFF:A,
ccu25_strobe_in_1_obuf/U0/U_IOOUTFF:Y,
ControlDecoder_1/threshold_buffer[1]:ADn,
ControlDecoder_1/threshold_buffer[1]:ALn,
ControlDecoder_1/threshold_buffer[1]:CLK,1742
ControlDecoder_1/threshold_buffer[1]:D,
ControlDecoder_1/threshold_buffer[1]:EN,-4122
ControlDecoder_1/threshold_buffer[1]:LAT,
ControlDecoder_1/threshold_buffer[1]:Q,1742
ControlDecoder_1/threshold_buffer[1]:SD,
ControlDecoder_1/threshold_buffer[1]:SLn,-849
ControlDecoder_0/counter_19_i_a2_3[1]:A,
ControlDecoder_0/counter_19_i_a2_3[1]:B,
ControlDecoder_0/counter_19_i_a2_3[1]:C,
ControlDecoder_0/counter_19_i_a2_3[1]:D,-4228
ControlDecoder_0/counter_19_i_a2_3[1]:Y,-4228
JTAG_2/data_to[3]:ADn,
JTAG_2/data_to[3]:ALn,
JTAG_2/data_to[3]:CLK,-1500
JTAG_2/data_to[3]:D,161
JTAG_2/data_to[3]:EN,-1061
JTAG_2/data_to[3]:LAT,
JTAG_2/data_to[3]:Q,-1500
JTAG_2/data_to[3]:SD,
JTAG_2/data_to[3]:SLn,
JTAG_1/next_TAP_state[4]:ADn,
JTAG_1/next_TAP_state[4]:ALn,
JTAG_1/next_TAP_state[4]:CLK,-1744
JTAG_1/next_TAP_state[4]:D,569
JTAG_1/next_TAP_state[4]:EN,
JTAG_1/next_TAP_state[4]:LAT,
JTAG_1/next_TAP_state[4]:Q,-1744
JTAG_1/next_TAP_state[4]:SD,
JTAG_1/next_TAP_state[4]:SLn,
JTAG_0/loop_counter[2]:ADn,
JTAG_0/loop_counter[2]:ALn,
JTAG_0/loop_counter[2]:CLK,-1980
